Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap11.1173	sp|Q7Z494|NPHP3_HUMAN	9.04e-37	Nephrocystin-3 OS=Homo sapiens GN=NPHP3 PE=1 SV=1	tr|A0A132H1Z5|A0A132H1Z5_9BACT	1.61e-121	Uncharacterized protein OS=bacterium P201 GN=AUK64_599 PE=4 SV=1	ref|XP_020621205.1|	0	tetratricopeptide repeat protein 28-like [Orbicella faveolata]	GO:0097546; GO:0097543; GO:0005929; GO:0005829; GO:0003283; GO:0060271; GO:0060027; GO:0071908; GO:0007368; GO:0071910; GO:0035469; GO:0071909; GO:0060287; GO:0007163; GO:0030198; GO:0001947; GO:0001822; GO:0060993; GO:0006629; GO:0030324; GO:0048496; GO:0090090; GO:1905515; GO:0045494; GO:0030814; GO:2000167; GO:2000095; GO:0072189; GO:0016055	GO:0005871; GO:0003777
evm.model.Ap11.1170	NA	NA	NA	tr|V4A4T9|V4A4T9_LOTGI	2.25e-124	Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_164707 PE=4 SV=1	gb|KXJ09273.1|	3.75e-169	Retrovirus-related Pol polyprotein from transposon opus [Exaiptasia pallida]	NA	
evm.model.Ap11.1171	NA	NA	NA	NA	NA	NA	ref|XP_020605747.1|	1.1e-06	kinesin light chain-like [Orbicella faveolata]	NA	NA
evm.model.Ap11.888	sp|A7YY35|K2012_BOVIN	2.22e-12	Uncharacterized protein KIAA2012 homolog OS=Bos taurus GN=KIAA2012 PE=2 SV=2	tr|A0A2B4RLS8|A0A2B4RLS8_STYPI	0	Reticulocyte-binding protein 2-like a OS=Stylophora pistillata GN=AWC38_SpisGene17532 PE=4 SV=1	gb|PFX18126.1|	0	trichohyalin-like [Stylophora pistillata]		
evm.model.Ap11.889	NA	NA	NA	tr|A0A2B4RQS0|A0A2B4RQS0_STYPI	8.85e-145	Synaptotagmin-4 OS=Stylophora pistillata GN=SYT4 PE=4 SV=1	ref|XP_020623183.1|	0	uncharacterized protein LOC110060728 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap11.884	sp|B6A7Q3|CDK14_RABIT	9.45e-66	Cyclin-dependent kinase 14 OS=Oryctolagus cuniculus GN=CDK14 PE=3 SV=1	tr|A0A2B4RP55|A0A2B4RP55_STYPI	1.77e-84	Cyclin-dependent kinase 14 OS=Stylophora pistillata GN=cdk14 PE=4 SV=1	ref|XP_022802438.1|	2.28e-84	cyclin-dependent kinase 14-like isoform X1 [Stylophora pistillata]	GO:0000308; GO:0005634; GO:0005886; GO:0005524; GO:0004693; GO:0051301; GO:0000086; GO:0060828; GO:0016055	GO:0005524; GO:0004674
evm.model.Ap11.885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.886	sp|Q9I9M5|FZD1_XENLA	0	Frizzled-1 OS=Xenopus laevis GN=fzd1 PE=2 SV=1	tr|A0A2B4S3Z3|A0A2B4S3Z3_STYPI	0	Frizzled-1 OS=Stylophora pistillata GN=fzd1 PE=4 SV=1	ref|XP_020612987.1|	0	frizzled-2-like [Orbicella faveolata]	GO:0016021; GO:0005886; GO:0004930; GO:0042813; GO:0007275	GO:0016021; GO:0042813; GO:0007275
evm.model.Ap11.887	sp|B3DMA2|ACD11_RAT	0	Acyl-CoA dehydrogenase family member 11 OS=Rattus norvegicus GN=Acad11 PE=1 SV=1	tr|B3RRY6|B3RRY6_TRIAD	0	Uncharacterized protein OS=Trichoplax adhaerens GN=TRIADDRAFT_22230 PE=4 SV=1	ref|XP_022793659.1|	0	acyl-CoA dehydrogenase family member 11-like [Stylophora pistillata]	GO:0031966; GO:0005739; GO:0005634; GO:0005777; GO:0003995; GO:0050660; GO:0004466; GO:0070991; GO:0017099; GO:0033539	GO:0005739; GO:0003995; GO:0050660; GO:0033539
evm.model.Ap11.880	NA	NA	NA	tr|A0A1Y1L521|A0A1Y1L521_PHOPY	2.09e-24	Uncharacterized protein OS=Photinus pyralis PE=4 SV=1	ref|XP_020905418.1|	2.41e-47	uncharacterized protein LOC110243633 [Exaiptasia pallida]	NA	
evm.model.Ap11.881	sp|P14381|YTX2_XENLA	8.42e-25	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1	tr|A0A1A7Y6D5|A0A1A7Y6D5_9TELE	1.69e-36	Uncharacterized protein (Fragment) OS=Aphyosemion striatum GN=CR354426.1 PE=4 SV=1	gb|KXJ10260.1|	5.5e-36	Transposon TX1 uncharacterized 149 kDa protein, partial [Exaiptasia pallida]		
evm.model.Ap11.882	sp|P08548|LIN1_NYCCO	6.37e-34	LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=3 SV=1	tr|A0A0R4IYX4|A0A0R4IYX4_DANRE	3.31e-82	Si:dkeyp-88h4.2 OS=Danio rerio GN=si:dkeyp-88h4.2 PE=4 SV=1	gb|PIK36905.1|	3.53e-102	pol-like protein [Apostichopus japonicus]	GO:0046872; GO:0003964	
evm.model.Ap11.883	sp|A4IIW7|CDK14_XENTR	4.92e-39	Cyclin-dependent kinase 14 OS=Xenopus tropicalis GN=cdk14 PE=2 SV=1	tr|A0A2B4RP55|A0A2B4RP55_STYPI	2.07e-68	Cyclin-dependent kinase 14 OS=Stylophora pistillata GN=cdk14 PE=4 SV=1	ref|XP_022802441.1|	4.34e-75	cyclin-dependent kinase 14-like isoform X2 [Stylophora pistillata]	GO:0000308; GO:0005829; GO:0005634; GO:0005886; GO:0005524; GO:0030332; GO:0004693; GO:0051301; GO:0000086; GO:0006468; GO:0060828; GO:0016055	GO:0005524; GO:0004674
evm.model.Ap11.364	sp|Q0P4P2|FBCD1_XENTR	1.34e-50	Fibrinogen C domain-containing protein 1 OS=Xenopus tropicalis GN=fibcd1 PE=2 SV=1	tr|A0A2B4RRA7|A0A2B4RRA7_STYPI	6.01e-140	Phosphatidylinositol phosphatase PTPRQ OS=Stylophora pistillata GN=Ptprq PE=4 SV=1	gb|PFX19323.1|	9.32e-140	Phosphatidylinositol phosphatase PTPRQ [Stylophora pistillata]	GO:0016021; GO:0008061; GO:0046872	GO:0016021
evm.model.Ap11.361	sp|A6QQX9|TM163_BOVIN	7.48e-42	Transmembrane protein 163 OS=Bos taurus GN=TMEM163 PE=2 SV=1	tr|A0A2B4RSU0|A0A2B4RSU0_STYPI	8.2e-118	Transmembrane protein 163 OS=Stylophora pistillata GN=Tmem163 PE=4 SV=1	ref|XP_022800574.1|	7.62e-154	transmembrane protein 163-like isoform X2 [Stylophora pistillata]	GO:0030054; GO:0031901; GO:0030285; GO:0008270	GO:0016021
evm.model.Ap11.360	sp|A6QLU1|GPDM_BOVIN	0	Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Bos taurus GN=GPD2 PE=2 SV=1	tr|A0A2B4RQ69|A0A2B4RQ69_STYPI	0	Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Stylophora pistillata GN=GPD2 PE=4 SV=1	gb|PFX19326.1|	0	glycerol-3-phosphate dehydrogenase, mitochondrial-like [Stylophora pistillata]	GO:0009331; GO:0005743; GO:0005509; GO:0052591; GO:0043010; GO:0006094; GO:0019563; GO:0006072; GO:0035264	GO:0009331; GO:0005509; GO:0052591; GO:0006072
evm.model.Ap11.363	sp|P70191|TRAF5_MOUSE	3.37e-16	TNF receptor-associated factor 5 OS=Mus musculus GN=Traf5 PE=1 SV=1	tr|A7RNK4|A7RNK4_NEMVE	1.15e-23	Predicted protein OS=Nematostella vectensis GN=v1g232054 PE=4 SV=1	ref|XP_015759391.1|	1.05e-99	PREDICTED: TNF receptor-associated factor 5-like [Acropora digitifera]	GO:0035631; GO:0005813; GO:0009898; GO:0005829; GO:0042802; GO:0004871; GO:0031996; GO:0005164; GO:0031625; GO:0008270; GO:0006915; GO:0008284; GO:0051091; GO:0043123; GO:0051092; GO:0042981; GO:0007165	GO:0005164; GO:0004842; GO:0008270
evm.model.Ap11.362	NA	NA	NA	tr|A0A2B4SH87|A0A2B4SH87_STYPI	4e-11	HRAS-like suppressor 3 OS=Stylophora pistillata GN=Pla2g16 PE=4 SV=1	ref|XP_015748209.1|	5.79e-26	PREDICTED: cell wall integrity and stress response component 4-like [Acropora digitifera]	NA	
evm.model.Ap11.1370	sp|O95198|KLHL2_HUMAN	1.45e-52	Kelch-like protein 2 OS=Homo sapiens GN=KLHL2 PE=1 SV=2	tr|A0A2B4RY70|A0A2B4RY70_STYPI	1.21e-144	Kelch-like protein 17 OS=Stylophora pistillata GN=Klhl17 PE=4 SV=1	ref|XP_020629919.1|	3.32e-174	kelch-like protein 2 [Orbicella faveolata]	GO:0015629; GO:0031463; GO:0005737; GO:0005829; GO:0030027; GO:0001726; GO:0003779; GO:0042802; GO:0043687; GO:0016567; GO:0042787	
evm.model.Ap11.1371	sp|Q5BIM1|TRI45_BOVIN	7.58e-34	Tripartite motif-containing protein 45 OS=Bos taurus GN=TRIM45 PE=2 SV=1	tr|A0A2B4RCA4|A0A2B4RCA4_STYPI	4.98e-56	E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1	ref|XP_020617582.1|	4.88e-107	tripartite motif-containing protein 2-like [Orbicella faveolata]	GO:0005829; GO:0045171; GO:0005654; GO:0008270; GO:0060348	GO:0005622; GO:0016874; GO:0008270
evm.model.Ap11.1372	sp|Q7LHG5|YI31B_YEAST	2.57e-70	Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-I PE=3 SV=2	tr|A0A1A8UZV6|A0A1A8UZV6_NOTFU	0	Uncharacterized protein (Fragment) OS=Nothobranchius furzeri GN=BX640584.1 PE=4 SV=1	ref|XP_005173220.1|	0	uncharacterized protein K02A2.6-like [Danio rerio]	GO:0005737; GO:0005634; GO:0000943; GO:0004190; GO:0005524; GO:0003677; GO:0003887; GO:0008233; GO:0004540; GO:0003723; GO:0003964; GO:0004523; GO:0008270; GO:0015074; GO:0006310; GO:0032197	GO:0004190; GO:0003676; GO:0008270; GO:0015074
evm.model.Ap11.1373	NA	NA	NA	tr|A0A2B4T1A0|A0A2B4T1A0_STYPI	7.62e-60	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene58 PE=4 SV=1	gb|PFX34920.1|	1.18e-59	hypothetical protein AWC38_SpisGene58 [Stylophora pistillata]	NA	GO:0003676
evm.model.Ap11.1374	sp|P03354|POL_RSVP	3.33e-07	Gag-Pol polyprotein OS=Rous sarcoma virus (strain Prague C) GN=gag-pol PE=1 SV=2	tr|A0A1A8EDU8|A0A1A8EDU8_9TELE	3.53e-142	Uncharacterized protein OS=Nothobranchius kadleci GN=BX640584.1 PE=4 SV=1	ref|XP_014678291.1|	3.18e-158	PREDICTED: uncharacterized protein LOC106818084 [Priapulus caudatus]	GO:0019013; GO:0004190; GO:0003677; GO:0003887; GO:0003723; GO:0003964; GO:0004523; GO:0005198; GO:0008270; GO:0015074; GO:0006310; GO:0075713; GO:0001171; GO:0046718; GO:0044826	GO:0004190; GO:0003676; GO:0008270
evm.model.Ap11.1375	sp|Q03601|NHL1_CAEEL	1.2e-09	RING finger protein nhl-1 OS=Caenorhabditis elegans GN=nhl-1 PE=1 SV=2	tr|A0A2B4RBP8|A0A2B4RBP8_STYPI	5.8e-30	Tripartite motif-containing protein 59 OS=Stylophora pistillata GN=TRIM59 PE=4 SV=1	ref|XP_022808721.1|	3.15e-32	tripartite motif-containing protein 59-like isoform X1 [Stylophora pistillata]	GO:0046872; GO:0004842; GO:0016567	GO:0005622; GO:0008270
evm.model.Ap11.1376	sp|Q5BIM1|TRI45_BOVIN	6.05e-09	Tripartite motif-containing protein 45 OS=Bos taurus GN=TRIM45 PE=2 SV=1	tr|A0A2B4R7S0|A0A2B4R7S0_STYPI	1.8e-15	Tripartite motif-containing protein 45 OS=Stylophora pistillata GN=TRIM45 PE=4 SV=1	ref|XP_020617582.1|	3.32e-30	tripartite motif-containing protein 2-like [Orbicella faveolata]	GO:0005829; GO:0045171; GO:0005654; GO:0008270; GO:0060348	GO:0005622; GO:0008270
evm.model.Ap11.1377	sp|Q5BIM1|TRI45_BOVIN	6.88e-19	Tripartite motif-containing protein 45 OS=Bos taurus GN=TRIM45 PE=2 SV=1	tr|A0A2B4R7S0|A0A2B4R7S0_STYPI	9e-30	Tripartite motif-containing protein 45 OS=Stylophora pistillata GN=TRIM45 PE=4 SV=1	ref|XP_020617582.1|	2.8e-51	tripartite motif-containing protein 2-like [Orbicella faveolata]	GO:0005829; GO:0045171; GO:0005654; GO:0008270; GO:0060348	GO:0005622; GO:0008270
evm.model.Ap11.1378	sp|Q09575|YRD6_CAEEL	3.99e-42	Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1	tr|A0A2B4REU9|A0A2B4REU9_STYPI	0	Transposon Tf2-9 polyprotein OS=Stylophora pistillata GN=Tf2-9 PE=4 SV=1	ref|XP_002740782.1|	0	PREDICTED: uncharacterized protein K02A2.6-like [Saccoglossus kowalevskii]	GO:0003676; GO:0008270; GO:0015074	GO:0004190; GO:0003676; GO:0008270; GO:0015074
evm.model.Ap11.1379	sp|Q9ESN6|TRIM2_MOUSE	4.12e-23	Tripartite motif-containing protein 2 OS=Mus musculus GN=Trim2 PE=1 SV=1	tr|A0A2B4RBP8|A0A2B4RBP8_STYPI	2.13e-38	Tripartite motif-containing protein 59 OS=Stylophora pistillata GN=TRIM59 PE=4 SV=1	ref|XP_020617582.1|	3.29e-59	tripartite motif-containing protein 2-like [Orbicella faveolata]	GO:0005737; GO:0017022; GO:0061630; GO:0004842; GO:0008270; GO:1990830; GO:0043523	GO:0005622; GO:0008270
evm.model.Ap11.763	sp|Q8N143|BCL6B_HUMAN	2.52e-12	B-cell CLL/lymphoma 6 member B protein OS=Homo sapiens GN=BCL6B PE=2 SV=2	tr|W4YJ40|W4YJ40_STRPU	0	Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1	gb|KXJ22829.1|	0	Zinc finger and SCAN domain-containing protein 22 [Exaiptasia pallida]	GO:0005634; GO:0046872; GO:0000977; GO:0001227; GO:0045595; GO:0042127; GO:0050727; GO:0042092	GO:0003676
evm.model.Ap11.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.358	sp|O35867|NEB1_RAT	2.12e-52	Neurabin-1 OS=Rattus norvegicus GN=Ppp1r9a PE=1 SV=1	tr|A0A2B4RNY4|A0A2B4RNY4_STYPI	0	Neurabin-1 OS=Stylophora pistillata GN=Ppp1r9a PE=4 SV=1	gb|PFX19321.1|	0	Neurabin-1 [Stylophora pistillata]	GO:0015629; GO:0030054; GO:0030864; GO:0005856; GO:0005829; GO:0030425; GO:0043197; GO:0044326; GO:0030175; GO:0030426; GO:1990761; GO:0030027; GO:0031594; GO:0043005; GO:0043025; GO:0014069; GO:0045202; GO:0051015; GO:0051020; GO:0044325; GO:0008022; GO:0032403; GO:0019904; GO:0042803; GO:0019901; GO:0008157; GO:0007015; GO:0007568; GO:0019722; GO:0097237; GO:0060079; GO:1900272; GO:1904049; GO:0051497; GO:0048666; GO:0031175; GO:0060999; GO:1900454; GO:0010976; GO:0045860; GO:0030833; GO:0061001; GO:0051489; GO:0051963; GO:0051823	
evm.model.Ap11.359	sp|Q8C996|TM163_MOUSE	6.36e-29	Transmembrane protein 163 OS=Mus musculus GN=Tmem163 PE=1 SV=1	tr|A0A2B4RSL6|A0A2B4RSL6_STYPI	1.01e-111	Transmembrane protein 163 OS=Stylophora pistillata GN=tmem163 PE=4 SV=1	ref|XP_022800591.1|	1.93e-117	transmembrane protein 163-like [Stylophora pistillata]	GO:0030054; GO:0031901; GO:0030285; GO:0008270	GO:0016021
evm.model.Ap11.350	sp|C3PK12|MSHA_CORA7	1.55e-12	D-inositol 3-phosphate glycosyltransferase OS=Corynebacterium aurimucosum (strain ATCC 700975 / DSM 44827 / CN-1) GN=mshA PE=3 SV=1	tr|A0A2B4RIJ0|A0A2B4RIJ0_STYPI	0	NACHT, LRR and PYD domains-containing protein 5 OS=Stylophora pistillata GN=NLRP5 PE=4 SV=1	ref|XP_020630898.1|	0	uncharacterized protein LOC110067895 [Orbicella faveolata]	GO:0008375; GO:0102710; GO:0046872; GO:0010125	
evm.model.Ap11.351	sp|P0CG47|UBB_HUMAN	1.6e-39	Polyubiquitin-B OS=Homo sapiens GN=UBB PE=1 SV=1	tr|A0A2B4RRY4|A0A2B4RRY4_STYPI	1.8e-178	Polyubiquitin-C OS=Stylophora pistillata GN=UBC PE=4 SV=1	ref|XP_020616729.1|	0	LOW QUALITY PROTEIN: polyubiquitin-C-like [Orbicella faveolata]	GO:0005829; GO:0030666; GO:0005789; GO:0044322; GO:0010008; GO:0070062; GO:0005615; GO:0043657; GO:0005741; GO:0005739; GO:0043209; GO:0043005; GO:0043025; GO:0005654; GO:0005634; GO:0005886; GO:0031982; GO:0000187; GO:0031145; GO:0006879; GO:0044267; GO:0019221; GO:0042769; GO:0006977; GO:1904380; GO:0016197; GO:0097009; GO:0035635; GO:0038128; GO:0070987; GO:0042276; GO:0060613; GO:0038095; GO:0008585; GO:0007144; GO:0008543; GO:0000086; GO:0070911; GO:0005978; GO:0021888; GO:0007249; GO:0045087; GO:0070498; GO:0036297; GO:0075733; GO:0034220; GO:0007254; GO:0016236; GO:0007141; GO:0000165; GO:0061024; GO:0047497; GO:0002755; GO:0002756; GO:0043066; GO:0090090; GO:0042059; GO:0010972; GO:0045746; GO:0000122; GO:0030512; GO:0032480; GO:0051436; GO:0048812; GO:0038061; GO:0007219; GO:0070423; GO:0000715; GO:0000717; GO:0006297; GO:0033683; GO:0006296; GO:0006294; GO:0043065; GO:0090263; GO:0045742; GO:0043123; GO:1902255; GO:0051092; GO:1902527; GO:0031398; GO:0045944; GO:0051437; GO:0043161; GO:0016579; GO:0006457; GO:0000209; GO:0016567; GO:0042787; GO:1902036; GO:0051881; GO:0043488; GO:0060544; GO:1901214; GO:0061136; GO:1901796; GO:0061418; GO:0010803; GO:0032479; GO:0031146; GO:0072520; GO:0002223; GO:0051403; GO:0050852; GO:0006283; GO:0007179; GO:0019985; GO:0055085; GO:0035666; GO:0033209; GO:0019058; GO:0019068; GO:0016055; GO:0060071	
evm.model.Ap11.352	NA	NA	NA	tr|A0A2B4RSU8|A0A2B4RSU8_STYPI	6.95e-58	Polyubiquitin-C OS=Stylophora pistillata GN=UBC PE=4 SV=1	ref|XP_020616729.1|	1.54e-69	LOW QUALITY PROTEIN: polyubiquitin-C-like [Orbicella faveolata]	NA	
evm.model.Ap11.353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.355	sp|A1R8N8|MSHA_PAEAT	8.46e-13	D-inositol 3-phosphate glycosyltransferase OS=Paenarthrobacter aurescens (strain TC1) GN=mshA PE=3 SV=1	tr|A0A2B4SF62|A0A2B4SF62_STYPI	0	Endoribonuclease Dcr-1 OS=Stylophora pistillata GN=Dcr-1 PE=4 SV=1	ref|XP_020630898.1|	0	uncharacterized protein LOC110067895 [Orbicella faveolata]	GO:0008375; GO:0102710; GO:0046872; GO:0010125	GO:0004525; GO:0003723; GO:0006396
evm.model.Ap11.356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.357	sp|Q8BGQ2|CSRN2_MOUSE	2.67e-32	Cysteine/serine-rich nuclear protein 2 OS=Mus musculus GN=Csrnp2 PE=2 SV=1	tr|A0A2B4RSW7|A0A2B4RSW7_STYPI	1.96e-124	Cysteine/serine-rich nuclear protein 2 OS=Stylophora pistillata GN=Csrnp2 PE=4 SV=1	ref|XP_020616920.1|	1.15e-130	cysteine/serine-rich nuclear protein 2-like [Orbicella faveolata]	GO:0005634; GO:0003700; GO:0019902; GO:0043565; GO:0001228; GO:0006915; GO:0010923; GO:0045944	
evm.model.Ap11.242	sp|Q8IXF0|NPAS3_HUMAN	1e-91	Neuronal PAS domain-containing protein 3 OS=Homo sapiens GN=NPAS3 PE=2 SV=1	tr|A0A2B4SN63|A0A2B4SN63_STYPI	0	Neuronal PAS domain-containing protein 3 OS=Stylophora pistillata GN=Npas3 PE=4 SV=1	ref|XP_020600649.1|	0	uncharacterized protein LOC110039840 isoform X1 [Orbicella faveolata]	GO:0005829; GO:0005654; GO:0005634; GO:0003677; GO:0046983; GO:0000981; GO:0032502; GO:0045893; GO:0006357; GO:0006351	GO:0005634; GO:0003677; GO:0046983; GO:0006355; GO:0006351
evm.model.Ap11.243	sp|Q9QXV3|ING1_MOUSE	1.87e-69	Inhibitor of growth protein 1 OS=Mus musculus GN=Ing1 PE=2 SV=1	tr|A0A2B4SNV6|A0A2B4SNV6_STYPI	4.24e-161	Inhibitor of growth protein 1 OS=Stylophora pistillata GN=Ing1 PE=4 SV=1	gb|PFX30560.1|	6.58e-161	inhibitor of growth protein 1-like [Stylophora pistillata]	GO:0005634; GO:0046872; GO:0035064; GO:0007049; GO:0008285; GO:0045893; GO:0006606; GO:0010941	GO:0005634; GO:0046872; GO:0016569; GO:0008285; GO:0010941
evm.model.Ap11.367	sp|Q95114|MFGM_BOVIN	5.44e-55	Lactadherin OS=Bos taurus GN=MFGE8 PE=1 SV=2	tr|A0A2B4RRA7|A0A2B4RRA7_STYPI	7.78e-153	Phosphatidylinositol phosphatase PTPRQ OS=Stylophora pistillata GN=Ptprq PE=4 SV=1	ref|XP_020616672.1|	0	lactadherin-like [Orbicella faveolata]	GO:0005576; GO:0016020; GO:0001525; GO:0007155; GO:0007338	GO:0016021
evm.model.Ap11.366	sp|Q9NBX4|RTXE_DROME	7.94e-27	Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1	tr|A0A2B4R7T1|A0A2B4R7T1_STYPI	0	Putative RNA-directed DNA polymerase from transposon X-element OS=Stylophora pistillata GN=AWC38_SpisGene23081 PE=4 SV=1	gb|PFX12889.1|	0	putative RNA-directed DNA polymerase from transposon X-element [Stylophora pistillata]	GO:0003964; GO:0006313	GO:0003964
evm.model.Ap11.969	sp|P14381|YTX2_XENLA	1.03e-31	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1	tr|K7EZ57|K7EZ57_PELSI	4.71e-128	Uncharacterized protein OS=Pelodiscus sinensis PE=4 SV=1	gb|PIK34921.1|	2.96e-153	endonuclease-reverse transcriptase [Apostichopus japonicus]		
evm.model.Ap11.968	NA	NA	NA	tr|A0A0B7BS32|A0A0B7BS32_9EUPU	3.1e-38	Uncharacterized protein OS=Arion vulgaris GN=ORF208813 PE=4 SV=1	ref|XP_006822761.1|	2.49e-45	PREDICTED: uncharacterized protein LOC102806375 [Saccoglossus kowalevskii]	NA	
evm.model.Ap11.967	sp|P53680|AP2S1_HUMAN	3.31e-94	AP-2 complex subunit sigma OS=Homo sapiens GN=AP2S1 PE=1 SV=2	tr|A0A2B4RPC4|A0A2B4RPC4_STYPI	5.73e-99	AP-2 complex subunit sigma OS=Stylophora pistillata GN=Ap2s1 PE=4 SV=1	ref|XP_020613022.1|	2.35e-99	AP-2 complex subunit sigma isoform X1 [Orbicella faveolata]	GO:0030122; GO:0045334; GO:0030669; GO:0005829; GO:0030666; GO:0036020; GO:0005886; GO:0008565; GO:0005215; GO:0019886; GO:0048268; GO:0072583; GO:0048013; GO:0006886; GO:0034383; GO:0032802; GO:0061024; GO:0007018; GO:0050690; GO:0030100; GO:0060071	GO:0030122; GO:0008565; GO:0006886; GO:0016192
evm.model.Ap11.966	sp|P16930|FAAA_HUMAN	0	Fumarylacetoacetase OS=Homo sapiens GN=FAH PE=1 SV=2	tr|A0A2B4RMT6|A0A2B4RMT6_STYPI	0	Fumarylacetoacetase OS=Stylophora pistillata GN=FAH PE=4 SV=1	gb|PFX18119.1|	0	fumarylacetoacetase-like isoform X1 [Stylophora pistillata]	GO:0005829; GO:0070062; GO:0004334; GO:0046872; GO:0006527; GO:0006559; GO:0006572	GO:0004334; GO:0009072
evm.model.Ap11.965	sp|P80204|TGFR1_RAT	0	TGF-beta receptor type-1 OS=Rattus norvegicus GN=Tgfbr1 PE=1 SV=1	tr|A0A2B4RNM4|A0A2B4RNM4_STYPI	0	TGF-beta receptor type-1 OS=Stylophora pistillata GN=Tgfbr1 PE=4 SV=1	ref|XP_020612956.1|	0	TGF-beta receptor type-1-like isoform X1 [Orbicella faveolata]	GO:0016324; GO:0016323; GO:0005923; GO:0005901; GO:0009986; GO:0005768; GO:0045121; GO:0005886; GO:0043234; GO:0043235; GO:0070022; GO:0005524; GO:0070411; GO:0046872; GO:0032403; GO:0046982; GO:0004672; GO:0004674; GO:0005102; GO:0005057; GO:0004702; GO:0046332; GO:0050431; GO:0005025; GO:0005024; GO:0005114; GO:0031625; GO:0000186; GO:0032924; GO:0007568; GO:0001525; GO:0060978; GO:0031100; GO:0009952; GO:0006915; GO:0048844; GO:0001824; GO:0060317; GO:0048870; GO:0071560; GO:0030199; GO:0060982; GO:0048565; GO:0007566; GO:0048701; GO:0042118; GO:0043542; GO:1905223; GO:0001837; GO:0008354; GO:0007507; GO:0001701; GO:0035556; GO:0001822; GO:0002088; GO:0030324; GO:0008584; GO:0048762; GO:0043066; GO:0032331; GO:0045602; GO:0001937; GO:2001237; GO:1902894; GO:0048663; GO:0060021; GO:0060017; GO:0060389; GO:0018105; GO:0018107; GO:0060037; GO:0043065; GO:2001235; GO:0030307; GO:0030335; GO:0008284; GO:0051272; GO:0001938; GO:0010718; GO:1905007; GO:0051491; GO:0010628; GO:1905075; GO:0010862; GO:1902895; GO:0051897; GO:0060391; GO:0051496; GO:0045893; GO:0009791; GO:0046777; GO:0006468; GO:0060043; GO:0010717; GO:0010468; GO:0043393; GO:0031396; GO:0006355; GO:0070723; GO:0051602; GO:0043627; GO:0001666; GO:0014070; GO:0034695; GO:0009636; GO:0007165; GO:0001501; GO:0048705; GO:0048538; GO:0007179; GO:0003223; GO:0060412; GO:0003222	GO:0016021; GO:0005524; GO:0004702; GO:0004675
evm.model.Ap11.964	NA	NA	NA	tr|A7SH09|A7SH09_NEMVE	1.07e-08	Fibroblast growth factor OS=Nematostella vectensis GN=v1g212165 PE=2 SV=1	ref|XP_020613017.1|	8.31e-38	uncharacterized protein LOC110051324 [Orbicella faveolata]	NA	GO:0008083
evm.model.Ap11.963	sp|Q15678|PTN14_HUMAN	2.51e-70	Tyrosine-protein phosphatase non-receptor type 14 OS=Homo sapiens GN=PTPN14 PE=1 SV=2	tr|A0A2B4RMT4|A0A2B4RMT4_STYPI	0	Tyrosine-protein phosphatase non-receptor type 14 OS=Stylophora pistillata GN=PTPN14 PE=4 SV=1	ref|XP_022802444.1|	0	tyrosine-protein phosphatase non-receptor type 21-like [Stylophora pistillata]	GO:0005737; GO:0005856; GO:0005654; GO:0005634; GO:0004725; GO:0030971; GO:0003712; GO:0071345; GO:0001946; GO:0008285; GO:0006470; GO:0046825; GO:0006355; GO:0006351	GO:0004725
